player,season,source,rec_yds_line,rec_yds_over_price,rec_yds_under_price,rec_tds_line,rec_tds_over_price,rec_tds_under_price,rush_yds_line,rush_yds_over_price,rush_yds_under_price,rush_tds_line,rush_tds_over_price,rush_tds_under_price,pass_yds_line,pass_yds_over_price,pass_yds_under_price,pass_tds_line,pass_tds_over_price,pass_tds_under_price
A.J. Brown,2025-26,FanDuel,1125.5,-114,-114,7.5,+108,-144,,,,,,,,,,,,
Aaron Jones,2025-26,FanDuel,,,,,,,725.5,-114,-114,3.5,-130,-102,,,,,,
Aaron Rodgers,2025-26,FanDuel,,,,,,,,,,,,,3200.5,-114,-114,22.5,-108,-125
Alvin Kamara,2025-26,FanDuel,,,,,,,775.5,-114,-114,4.5,-114,-114,,,,,,
Amon-Ra St. Brown,2025-26,FanDuel,1075.5,-114,-114,8.5,-110,-120,,,,,,,,,,,,
Ashton Jeanty,2025-26,FanDuel,,,,,,,1075.5,-114,,7.5,-118,-112,,,,,,
Baker Mayfield,2025-26,FanDuel,,,,,,,,,,,,,3825.5,-114,-114,30.5,+112,-148
Bijan Robinson,2025-26,FanDuel,350.5,-114,-114,,,,1200.5,-114,-114,10.5,+112,-148,,,,,,
Bo Nix,2025-26,FanDuel,,,,,,,,,,,,,3500.5,-114,-114,24.5,-114,-114
Breece Hall,2025-26,FanDuel,,,,,,,900.5,-114,-114,5.5,-102,-130,,,,,,
Brian Robinson Jr.,2025-26,FanDuel,,,,,,,725.5,-114,-114,6.5,-130,-102,,,,,,
Brian Thomas,2025-26,FanDuel,1150.5,-114,-114,,,,,,,,,,,,,,,
Brian Thomas Jr.,2025-26,FanDuel,,,,7.5,+120,-160,,,,,,,,,,,,
Brock Bowers,2025-26,FanDuel,1025.5,-114,-114,5.5,+124,-172,,,,,,,,,,,,
Brock Purdy,2025-26,FanDuel,,,,,,,,,,,,,3850.5,-114,-114,24.5,+100,-132
Bryce Young,2025-26,FanDuel,,,,,,,,,,,,,3200.5,-114,-114,18.5,-102,-130
Bucky Irving,2025-26,FanDuel,,,,,,,1000.5,-114,-114,7.5,-104,-128,,,,,,
C.J. Stroud,2025-26,FanDuel,,,,,,,,,,,,,3825.5,-114,-114,21.5,-108,-122
Caleb Williams,2025-26,FanDuel,,,,,,,400.5,-114,-114,,,,3625.5,-114,-114,22.5,-136,+102
Calvin Ridley,2025-26,FanDuel,900.5,-114,-114,5.5,-114,-114,,,,,,,,,,,,
Cameron Ward,2025-26,FanDuel,,,,,,,,,,,,,3200.5,-114,-114,18.5,+100,-132
CeeDee Lamb,2025-26,FanDuel,1175.5,-114,-114,7.5,-106,-125,,,,,,,,,,,,
Chase Brown,2025-26,FanDuel,,,,,,,875.5,-114,-114,5.5,-198,+146,,,,,,
Christian McCaffrey,2025-26,FanDuel,425.5,-114,-114,,,,950.5,-114,-114,7.5,-108,-122,,,,,,
Chuba Hubbard,2025-26,FanDuel,,,,,,,950.5,-114,-114,6.5,+100,-132,,,,,,
Colston Loveland,2025-26,FanDuel,550.5,-114,-114,,,,,,,,,,,,,,,
Cooper Kupp,2025-26,FanDuel,675.5,-114,-114,5.5,+116,-154,,,,,,,,,,,,
Courtland Sutton,2025-26,FanDuel,900.5,-114,-114,6.5,-128,-104,,,,,,,,,,,,
D'Andre Swift,2025-26,FanDuel,,,,,,,800.5,-114,-114,5.5,+124,-172,,,,,,
D.J. Moore,2025-26,FanDuel,975.5,-114,-114,6.5,+104,-138,,,,,,,,,,,,
D.K Metcalf,2025-26,FanDuel,925.5,-114,-114,,,,,,,,,,,,,,,
D.K. Metcalf,2025-26,FanDuel,,,,6.5,-114,-114,,,,,,,,,,,,
Dak Prescott,2025-26,FanDuel,,,,,,,,,,,,,3875.5,-114,-114,26.5,-102,-130
Dalton Kincaid,2025-26,FanDuel,575.5,-114,-114,,,,,,,,,,,,,,,
Davante Adams,2025-26,FanDuel,925.5,-114,-114,7.5,-102,-136,,,,,,,,,,,,
David Montgomery,2025-26,FanDuel,,,,,,,725.5,-114,-114,8.5,-148,+112,,,,,,
De'Von Achane,2025-26,FanDuel,,,,,,,875.5,-114,-114,7.5,+116,-158,,,,,,
DeVonta Smith,2025-26,FanDuel,850.5,-114,-114,5.5,-122,-108,,,,,,,,,,,,
Deebo Samuel,2025-26,FanDuel,700.5,-114,-114,,,,,,,,,,,,,,,
Derrick Henry,2025-26,FanDuel,,,,,,,1325.5,-114,-114,12.5,-130,-102,,,,,,
Drake London,2025-26,FanDuel,1125.5,-114,-114,7.5,+112,-148,,,,,,,,,,,,
Drake Maye,2025-26,FanDuel,,,,,,,,,,,,,3275.5,-114,-114,20.5,-108,-122
Garrett Wilson,2025-26,FanDuel,950.5,-114,-114,4.5,-136,+102,,,,,,,,,,,,
Geno Smith,2025-26,FanDuel,,,,,,,,,,,,,3600.5,-114,-114,20.5,+100,-132
George Kittle,2025-26,FanDuel,900.5,-114,-114,6.5,+118,-158,,,,,,,,,,,,
George Pickens,2025-26,FanDuel,900.5,-114,-114,5.5,+102,-136,,,,,,,,,,,,
J.J. McCarthy,2025-26,FanDuel,,,,,,,,,,,,,3575.5,-114,-114,24.5,-102,-132
Ja'Marr Chase,2025-26,FanDuel,1325.5,-114,-114,10.5,-130,-102,,,,,,,,,,,,
Jahmyr Gibbs,2025-26,FanDuel,425.5,-114,-114,,,,1075.5,-114,-114,10.5,+112,-148,,,,,,
Jake Ferguson,2025-26,FanDuel,550.5,-114,-114,,,,,,,,,,,,,,,
Jakobi Meyers,2025-26,FanDuel,825.5,-114,-114,,,,,,,,,,,,,,,
Jalen Hurts,2025-26,FanDuel,,,,,,,600.5,-114,-114,12.5,+104,-138,3200.5,-114,-114,19.5,-144,+106
James Conner,2025-26,FanDuel,,,,,,,900.5,-114,-114,7.5,-122,-108,,,,,,
James Cook,2025-26,FanDuel,,,,,,,950.5,-114,-114,8.5,-140,+106,,,,,,
Jameson Williams,2025-26,FanDuel,875.5,-114,-114,5.5,-108,-122,,,,,,,,,,,,
Jared Goff,2025-26,FanDuel,,,,,,,,,,,,,3875.5,-114,-114,28.5,-102,-130
Jaxon Smith-Njigba,2025-26,FanDuel,975.5,-114,-114,5.5,-130,-102,,,,,,,,,,,,
Jayden Daniels,2025-26,FanDuel,,,,,,,675.5,-114,-114,5.5,-130,-102,3425.5,-114,-114,24.5,+114,-158
Jayden Reed,2025-26,FanDuel,700.5,-114,-114,,,,,,,,,,,,,,,
Jaylen Waddle,2025-26,FanDuel,925.5,-114,-114,5.5,+154,-210,,,,,,,,,,,,
Jerry Jeudy,2025-26,FanDuel,900.5,-114,-114,,,,,,,,,,,,,,,
Joe Burrow,2025-26,FanDuel,,,,,,,,,,,,,4200.5,-114,-114,33.5,-122,-108
Jonathan Taylor,2025-26,FanDuel,,,,,,,1175.5,-114,-114,9.5,-102,-130,,,,,,
Jordan Love,2025-26,FanDuel,,,,,,,,,,,,,3550.5,-114,-114,25.5,-112,-118
Josh Allen,2025-26,FanDuel,,,,,,,500.5,-114,-114,10.5,-104,-128,3775.5,-114,-114,27.5,+112,-148
Josh Jacobs,2025-26,FanDuel,,,,,,,1050.5,-114,-114,10.5,+112,-148,,,,,,
Justin Fields,2025-26,FanDuel,,,,,,,650.5,-114,-114,6.5,-114,-114,2600.5,-114,-114,14.5,-108,-122
Justin Herbert,2025-26,FanDuel,,,,,,,,,,,,,3650.5,-114,-114,22.5,-114,-114
Kenneth Walker,2025-26,FanDuel,,,,,,,,,,6.5,-122,-108,,,,,,
Kenneth Walker III,2025-26,FanDuel,,,,,,,875.5,-114,-114,,,,,,,,,
Kyle Pitts,2025-26,FanDuel,525.5,-114,-114,3.5,-128,-106,,,,,,,,,,,,
Kyler Murray,2025-26,FanDuel,,,,,,,475.5,-114,-114,4.5,+122,-162,3375.5,-114,-114,20.5,+100,-132
Kyren Williams,2025-26,FanDuel,,,,,,,1000.5,-114,-114,10.5,-114,-114,,,,,,
Ladd McConkey,2025-26,FanDuel,1050.5,-114,-114,6.5,+106,-140,,,,,,,,,,,,
Lamar Jackson,2025-26,FanDuel,,,,,,,750.5,-114,-114,3.5,-178,+132,3475.5,-114,-114,28.5,-114,-114
Malik Nabers,2025-26,FanDuel,1150.5,-114,-114,7.5,-108,-122,,,,,,,,,,,,
Mark Andrews,2025-26,FanDuel,550.5,-114,-114,5.5,-136,+102,,,,,,,,,,,,
Marvin Harrison Jr.,2025-26,FanDuel,975.5,-114,-114,6.5,-122,-108,,,,,,,,,,,,
Matthew Stafford,2025-26,FanDuel,,,,,,,,,,,,,3750.5,-114,-114,,,
Michael Penix Jr.,2025-26,FanDuel,,,,,,,,,,,,,3350.5,-114,-114,18.5,-130,-104
Mike Evans,2025-26,FanDuel,950.5,-114,-114,7.5,-122,-108,,,,,,,,,,,,
Nico Collins,2025-26,FanDuel,1150.5,-114,-114,6.5,-140,+106,,,,,,,,,,,,
Patrick Mahomes,2025-26,FanDuel,,,,,,,,,,,,,4000.5,-114,-114,27.5,-114,-114
Puka Nacua,2025-26,FanDuel,1200.5,-114,-114,5.5,-136,+102,,,,,,,,,,,,
Rashod Bateman,2025-26,FanDuel,550.5,-114,-114,,,,,,,,,,,,,,,
Rome Odunze,2025-26,FanDuel,850.5,-114,-114,5.5,+110,-146,,,,,,,,,,,,
Sam Darnold,2025-26,FanDuel,,,,,,,,,,,,,3400.5,-114,-114,20.5,+112,-148
Sam LaPorta,2025-26,FanDuel,675.5,-114,-114,6.5,-102,-130,,,,,,,,,,,,
Saquon Barkley,2025-26,FanDuel,275.5,-114,-114,,,,1400.5,-114,-114,10.5,-122,-108,,,,,,
Stefon Diggs,2025-26,FanDuel,775.5,-114,-114,4.5,-140,+106,,,,,,,,,,,,
Tee Higgins,2025-26,FanDuel,975.5,-114,-114,7.5,-122,-108,,,,,,,,,,,,
Tetairoa McMillan,2025-26,FanDuel,825.5,-114,-114,4.5,-148,+112,,,,,,,,,,,,
Tony Pollard,2025-26,FanDuel,,,,,,,875.5,-114,-114,5.5,+118,-158,,,,,,
Travis Hunter,2025-26,FanDuel,750.5,-114,-114,4.5,-106,-128,,,,,,,,,,,,
Travis Kelce,2025-26,FanDuel,675.5,-114,-114,4.5,-148,+112,,,,,,,,,,,,
Trevor Lawrence,2025-26,FanDuel,,,,,,,,,,,,,3750.5,-114,-114,22.5,-106,-125
Trey McBride,2025-26,FanDuel,900.5,-114,-114,4.5,-136,+102,,,,,,,,,,,,
Tua Tagovailoa,2025-26,FanDuel,,,,,,,,,,,,,3500.5,-114,-114,22.5,-114,-114
Tucker Kraft,2025-26,FanDuel,650.5,-114,-114,,,,,,,,,,,,,,,
Tyreek Hill,2025-26,FanDuel,975.5,-114,-114,7.5,+128,-172,,,,,,,,,,,,
Xavier Worthy,2025-26,FanDuel,875.5,-114,-114,6.5,-108,-122,,,,,,,,,,,,
Zay Flowers,2025-26,FanDuel,900.5,-114,-114,4.5,-132,+100,,,,,,,,,,,,
