player,season,source,pass_yds_line,pass_yds_over_price,pass_yds_under_price,pass_tds_line,pass_tds_over_price,pass_tds_under_price
Aaron Rodgers,2025-26,FanDuel,3200.5,-114,-114,22.5,-108,-125
Baker Mayfield,2025-26,FanDuel,3825.5,-114,-114,30.5,+112,-148
Bo Nix,2025-26,FanDuel,3500.5,-114,-114,24.5,-114,-114
Brock Purdy,2025-26,FanDuel,3850.5,-114,-114,24.5,+100,-132
Bryce Young,2025-26,FanDuel,3200.5,-114,-114,18.5,-102,-130
C.J. Stroud,2025-26,FanDuel,3825.5,-114,-114,21.5,-108,-122
Caleb Williams,2025-26,FanDuel,3625.5,-114,-114,22.5,-136,+102
Cameron Ward,2025-26,FanDuel,3200.5,-114,-114,18.5,+100,-132
Dak Prescott,2025-26,FanDuel,3875.5,-114,-114,26.5,-102,-130
Drake Maye,2025-26,FanDuel,3275.5,-114,-114,20.5,-108,-122
Geno Smith,2025-26,FanDuel,3600.5,-114,-114,20.5,+100,-132
J.J. McCarthy,2025-26,FanDuel,3575.5,-114,-114,24.5,-102,-132
Jalen Hurts,2025-26,FanDuel,3200.5,-114,-114,19.5,-144,+106
Jared Goff,2025-26,FanDuel,3875.5,-114,-114,28.5,-102,-130
Jayden Daniels,2025-26,FanDuel,3425.5,-114,-114,24.5,+114,-158
Joe Burrow,2025-26,FanDuel,4200.5,-114,-114,33.5,-122,-108
Jordan Love,2025-26,FanDuel,3550.5,-114,-114,25.5,-112,-118
Josh Allen,2025-26,FanDuel,3775.5,-114,-114,27.5,+112,-148
Justin Fields,2025-26,FanDuel,2600.5,-114,-114,14.5,-108,-122
Justin Herbert,2025-26,FanDuel,3650.5,-114,-114,22.5,-114,-114
Kyler Murray,2025-26,FanDuel,3375.5,-114,-114,20.5,+100,-132
Lamar Jackson,2025-26,FanDuel,3475.5,-114,-114,28.5,-114,-114
Matthew Stafford,2025-26,FanDuel,3750.5,-114,-114,,,
Michael Penix Jr.,2025-26,FanDuel,3350.5,-114,-114,18.5,-130,-104
Patrick Mahomes,2025-26,FanDuel,4000.5,-114,-114,27.5,-114,-114
Sam Darnold,2025-26,FanDuel,3400.5,-114,-114,20.5,+112,-148
Trevor Lawrence,2025-26,FanDuel,3750.5,-114,-114,22.5,-106,-125
Tua Tagovailoa,2025-26,FanDuel,3500.5,-114,-114,22.5,-114,-114
