player,season,source,rec_yds_line,rec_yds_over_price,rec_yds_under_price,rec_tds_line,rec_tds_over_price,rec_tds_under_price
A.J. Brown,2025-26,FanDuel,1125.5,-114,-114,7.5,+108,-144
Amon-Ra St. Brown,2025-26,FanDuel,1075.5,-114,-114,8.5,-110,-120
Bijan Robinson,2025-26,FanDuel,350.5,-114,-114,,,
Brian Thomas,2025-26,FanDuel,1150.5,-114,-114,,,
Brian Thomas Jr.,2025-26,FanDuel,,,,7.5,+120,-160
Brock Bowers,2025-26,FanDuel,1025.5,-114,-114,5.5,+124,-172
Calvin Ridley,2025-26,FanDuel,900.5,-114,-114,5.5,-114,-114
CeeDee Lamb,2025-26,FanDuel,1175.5,-114,-114,7.5,-106,-125
Christian McCaffrey,2025-26,FanDuel,425.5,-114,-114,,,
Colston Loveland,2025-26,FanDuel,550.5,-114,-114,,,
Cooper Kupp,2025-26,FanDuel,675.5,-114,-114,5.5,+116,-154
Courtland Sutton,2025-26,FanDuel,900.5,-114,-114,6.5,-128,-104
D.J. Moore,2025-26,FanDuel,975.5,-114,-114,6.5,+104,-138
D.K Metcalf,2025-26,FanDuel,925.5,-114,-114,,,
D.K. Metcalf,2025-26,FanDuel,,,,6.5,-114,-114
Dalton Kincaid,2025-26,FanDuel,575.5,-114,-114,,,
Davante Adams,2025-26,FanDuel,925.5,-114,-114,7.5,-102,-136
DeVonta Smith,2025-26,FanDuel,850.5,-114,-114,5.5,-122,-108
Deebo Samuel,2025-26,FanDuel,700.5,-114,-114,,,
Drake London,2025-26,FanDuel,1125.5,-114,-114,7.5,+112,-148
Garrett Wilson,2025-26,FanDuel,950.5,-114,-114,4.5,-136,+102
George Kittle,2025-26,FanDuel,900.5,-114,-114,6.5,+118,-158
George Pickens,2025-26,FanDuel,900.5,-114,-114,5.5,+102,-136
Ja'Marr Chase,2025-26,FanDuel,1325.5,-114,-114,10.5,-130,-102
Jahmyr Gibbs,2025-26,FanDuel,425.5,-114,-114,,,
Jake Ferguson,2025-26,FanDuel,550.5,-114,-114,,,
Jakobi Meyers,2025-26,FanDuel,825.5,-114,-114,,,
Jameson Williams,2025-26,FanDuel,875.5,-114,-114,5.5,-108,-122
Jaxon Smith-Njigba,2025-26,FanDuel,975.5,-114,-114,5.5,-130,-102
Jayden Reed,2025-26,FanDuel,700.5,-114,-114,,,
Jaylen Waddle,2025-26,FanDuel,925.5,-114,-114,5.5,+154,-210
Jerry Jeudy,2025-26,FanDuel,900.5,-114,-114,,,
Kyle Pitts,2025-26,FanDuel,525.5,-114,-114,3.5,-128,-106
Ladd McConkey,2025-26,FanDuel,1050.5,-114,-114,6.5,+106,-140
Malik Nabers,2025-26,FanDuel,1150.5,-114,-114,7.5,-108,-122
Mark Andrews,2025-26,FanDuel,550.5,-114,-114,5.5,-136,+102
Marvin Harrison Jr.,2025-26,FanDuel,975.5,-114,-114,6.5,-122,-108
Mike Evans,2025-26,FanDuel,950.5,-114,-114,7.5,-122,-108
Nico Collins,2025-26,FanDuel,1150.5,-114,-114,6.5,-140,+106
Puka Nacua,2025-26,FanDuel,1200.5,-114,-114,5.5,-136,+102
Rashod Bateman,2025-26,FanDuel,550.5,-114,-114,,,
Rome Odunze,2025-26,FanDuel,850.5,-114,-114,5.5,+110,-146
Sam LaPorta,2025-26,FanDuel,675.5,-114,-114,6.5,-102,-130
Saquon Barkley,2025-26,FanDuel,275.5,-114,-114,,,
Stefon Diggs,2025-26,FanDuel,775.5,-114,-114,4.5,-140,+106
Tee Higgins,2025-26,FanDuel,975.5,-114,-114,7.5,-122,-108
Tetairoa McMillan,2025-26,FanDuel,825.5,-114,-114,4.5,-148,+112
Travis Hunter,2025-26,FanDuel,750.5,-114,-114,4.5,-106,-128
Travis Kelce,2025-26,FanDuel,675.5,-114,-114,4.5,-148,+112
Trey McBride,2025-26,FanDuel,900.5,-114,-114,4.5,-136,+102
Tucker Kraft,2025-26,FanDuel,650.5,-114,-114,,,
Tyreek Hill,2025-26,FanDuel,975.5,-114,-114,7.5,+128,-172
Xavier Worthy,2025-26,FanDuel,875.5,-114,-114,6.5,-108,-122
Zay Flowers,2025-26,FanDuel,900.5,-114,-114,4.5,-132,+100
