player,season,source,rush_yds_line,rush_yds_over_price,rush_yds_under_price,rush_tds_line,rush_tds_over_price,rush_tds_under_price
Aaron Jones,2025-26,FanDuel,725.5,-114,-114,3.5,-130,-102
Alvin Kamara,2025-26,FanDuel,775.5,-114,-114,4.5,-114,-114
Ashton Jeanty,2025-26,FanDuel,1075.5,-114,,7.5,-118,-112
Bijan Robinson,2025-26,FanDuel,1200.5,-114,-114,10.5,+112,-148
Breece Hall,2025-26,FanDuel,900.5,-114,-114,5.5,-102,-130
Brian Robinson Jr.,2025-26,FanDuel,725.5,-114,-114,6.5,-130,-102
Bucky Irving,2025-26,FanDuel,1000.5,-114,-114,7.5,-104,-128
Caleb Williams,2025-26,FanDuel,400.5,-114,-114,,,
Chase Brown,2025-26,FanDuel,875.5,-114,-114,5.5,-198,+146
Christian McCaffrey,2025-26,FanDuel,950.5,-114,-114,7.5,-108,-122
Chuba Hubbard,2025-26,FanDuel,950.5,-114,-114,6.5,+100,-132
D'Andre Swift,2025-26,FanDuel,800.5,-114,-114,5.5,+124,-172
David Montgomery,2025-26,FanDuel,725.5,-114,-114,8.5,-148,+112
De'Von Achane,2025-26,FanDuel,875.5,-114,-114,7.5,+116,-158
Derrick Henry,2025-26,FanDuel,1325.5,-114,-114,12.5,-130,-102
Jahmyr Gibbs,2025-26,FanDuel,1075.5,-114,-114,10.5,+112,-148
Jalen Hurts,2025-26,FanDuel,600.5,-114,-114,12.5,+104,-138
James Conner,2025-26,FanDuel,900.5,-114,-114,7.5,-122,-108
James Cook,2025-26,FanDuel,950.5,-114,-114,8.5,-140,+106
Jayden Daniels,2025-26,FanDuel,675.5,-114,-114,5.5,-130,-102
Jonathan Taylor,2025-26,FanDuel,1175.5,-114,-114,9.5,-102,-130
Josh Allen,2025-26,FanDuel,500.5,-114,-114,10.5,-104,-128
Josh Jacobs,2025-26,FanDuel,1050.5,-114,-114,10.5,+112,-148
Justin Fields,2025-26,FanDuel,650.5,-114,-114,6.5,-114,-114
Kenneth Walker,2025-26,FanDuel,,,,6.5,-122,-108
Kenneth Walker III,2025-26,FanDuel,875.5,-114,-114,,,
Kyler Murray,2025-26,FanDuel,475.5,-114,-114,4.5,+122,-162
Kyren Williams,2025-26,FanDuel,1000.5,-114,-114,10.5,-114,-114
Lamar Jackson,2025-26,FanDuel,750.5,-114,-114,3.5,-178,+132
Saquon Barkley,2025-26,FanDuel,1400.5,-114,-114,10.5,-122,-108
Tony Pollard,2025-26,FanDuel,875.5,-114,-114,5.5,+118,-158
